"File","Path","Size","Modified Time","Access Time","Created Time","MD5","Owner","Group","Mode"
"Invoke-PsGcatAgent.ps1","/home/mint/Apps/nishang/Shells/Invoke-PsGcatAgent.ps1","6412","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","8032E8E34F54B91D703BAE3C84856BD2","1000","1000","33188"
"Invoke-PowerShellTcp.ps1","/home/mint/Apps/nishang/Shells/Invoke-PowerShellTcp.ps1","4340","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","FD03F932D2C5ED364760A3512853D4DF","1000","1000","33188"
"Download_Execute.ps1","/home/mint/Apps/nishang/Execution/Download_Execute.ps1","1885","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","5F885C5058BD2BFF826CF328F393B847","1000","1000","33188"
"Execute-Command-MSSQL.ps1","/home/mint/Apps/nishang/Execution/Execute-Command-MSSQL.ps1","5006","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","071C9CA39FBBD2A921C9B1BA6D7EA95F","1000","1000","33188"
"Execute-DNSTXT-Code.ps1","/home/mint/Apps/nishang/Execution/Execute-DNSTXT-Code.ps1","4607","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","90FB671E435E10FC01157636B29EE0B8","1000","1000","33188"
"Download-Execute-PS.ps1","/home/mint/Apps/nishang/Execution/Download-Execute-PS.ps1","1931","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","1C2574829DBB975F2AFAF6A6770ED360","1000","1000","33188"
"StringToBase64.ps1","/home/mint/Apps/nishang/Utility/StringToBase64.ps1","1325","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","C4E6DC0EDE9B25D3FB464F93870C29A4","1000","1000","33188"
"TexttoExe.ps1","/home/mint/Apps/nishang/Utility/TexttoExe.ps1","929","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","9229D0571226666E47F2641FCF9B00EC","1000","1000","33188"
"ExetoText.ps1","/home/mint/Apps/nishang/Utility/ExetoText.ps1","924","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","532DD6ADE1B4938F264612A1AE3708EC","1000","1000","33188"
"Add-Exfiltration.ps1","/home/mint/Apps/nishang/Utility/Add-Exfiltration.ps1","7527","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","BB3F12F716768A115430B1509AF50725","1000","1000","33188"
"Invoke-Encode.ps1","/home/mint/Apps/nishang/Utility/Invoke-Encode.ps1","4723","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","DB3F621685609A11CB1F937D64D0FBA6","1000","1000","33188"
"Add-Persistence.ps1","/home/mint/Apps/nishang/Utility/Add-Persistence.ps1","2816","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","FCD33770138751113EFF5144A655E64A","1000","1000","33188"
"Parse_Keys.ps1","/home/mint/Apps/nishang/Utility/Parse_Keys.ps1","6923","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","57B0771D93F8CABC1EA6577D983918FB","1000","1000","33188"
"Invoke-Decode.ps1","/home/mint/Apps/nishang/Utility/Invoke-Decode.ps1","1895","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","B03A1A48B75C35E8BCCCE90546725862","1000","1000","33188"
"Base64ToString.ps1","/home/mint/Apps/nishang/Utility/Base64ToString.ps1","1341","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","39528E1C98AFA079A46E80A1EF0BB21C","1000","1000","33188"
"Do-Exfiltration.ps1","/home/mint/Apps/nishang/Utility/Do-Exfiltration.ps1","6132","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","11CFB81708E9B86C955978AC44331442","1000","1000","33188"
"Remove-Persistence.ps1","/home/mint/Apps/nishang/Utility/Remove-Persistence.ps1","2746","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","70818956F778272C043A9062624388D9","1000","1000","33188"
"Out-DnsTxt.ps1","/home/mint/Apps/nishang/Utility/Out-DnsTxt.ps1","4002","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","F732EB6CE38EFD0732BFB84FE71D49FF","1000","1000","33188"
"Download.ps1","/home/mint/Apps/nishang/Utility/Download.ps1","804","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","6B0CDD8D326E0A649CE8F44F5272CE95","1000","1000","33188"
"Nishang_logo_small.png","/home/mint/Apps/nishang/Misc/Nishang_logo_small.png","1170","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","742CB9A6ACC93D35FA3953AC142B0FB2","1000","1000","33188"
"Speak.ps1","/home/mint/Apps/nishang/Misc/Speak.ps1","530","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","35F4D0982CBDC9A43635FAD96C91BEB5","1000","1000","33188"
"Nishang_Logo.png","/home/mint/Apps/nishang/Misc/Nishang_Logo.png","5135","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","5A087EC145BFADF3207E2CAD4E333D55","1000","1000","33188"
"Get-PassHashes.ps1","/home/mint/Apps/nishang/Gather/Get-PassHashes.ps1","14948","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","F030FE6BBAA367ECBD30A811080D4A77","1000","1000","33188"
"Get-WLAN-Keys.ps1","/home/mint/Apps/nishang/Gather/Get-WLAN-Keys.ps1","656","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","5F6F0C87311212C47A3A338223F6D4D6","1000","1000","33188"
"FireBuster.ps1","/home/mint/Apps/nishang/Gather/FireBuster.ps1","2107","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","0FE3E3FEEFEF7561B580D35B8F8292AB","1000","1000","33188"
"Invoke-CredentialsPhish.ps1","/home/mint/Apps/nishang/Gather/Invoke-CredentialsPhish.ps1","1602","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","DEFC6A26841C8693FB28A10FA4C997A3","1000","1000","33188"
"Get-LSASecret.ps1","/home/mint/Apps/nishang/Gather/Get-LSASecret.ps1","8836","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","C9AA687C39E2942E1D540AF75CB2E763","1000","1000","33188"
"FireListener.ps1","/home/mint/Apps/nishang/Gather/FireListener.ps1","2697","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","9C29DFF3A1A85A491167E0F4A04AD27B","1000","1000","33188"
"Copy-VSS.ps1","/home/mint/Apps/nishang/Gather/Copy-VSS.ps1","2437","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","AB60660E3A391A8AD0DE689AB956274E","1000","1000","33188"
"Invoke-MimikatzWDigestDowngrade.ps1","/home/mint/Apps/nishang/Gather/Invoke-MimikatzWDigestDowngrade.ps1","688573","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","4930D8EF3E55B6CD7F397A194C0000BD","1000","1000","33188"
"Get-Information.ps1","/home/mint/Apps/nishang/Gather/Get-Information.ps1","3628","Sun Jun 21 21:54:18 2015","Sun Jun 28 21:25:27 2015","Sun Jun 21 21:54:18 2015","73D22FA60FDEE3E74AE1F7CDB1D3576D","1000","1000","33188"
